"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","shrunkenLog2FoldChange"
"S100A4",10.6575207184491,-2.33578915780855,0.338330407513702,-6.90387002153791,5.06046054888704e-12,1.87165599903175e-10,-2.24907094650557
"C22orf15",3.27089792694905,-3.27681101570344,0.474676334786234,-6.90325338670848,5.08248537159769e-12,1.87504614170635e-10,-3.17766174578334
"ZEB2",79.143141687389,1.98799090408084,0.2884449632889,6.89209782487936,5.49755449978387e-12,2.02372697003009e-10,1.91384364046078
"CFAP298",27.0228600759277,-1.87893329254871,0.273344574747025,-6.87386349002034,6.24860066945041e-12,2.29516435092767e-10,-1.8169104976983
"NDUFS3",5.21589625915659,-1.9319686674644,0.28114515742586,-6.871783548233,6.34041114845538e-12,2.32380221698629e-10,-1.86089017714871
"COPS9",2.78369375619591,-4.65914398231215,0.67805250048533,-6.87136169983485,6.35919252306906e-12,2.32560796715114e-10,-4.61377631808901
"MICOS10",11.2853751827332,-1.99942219943674,0.291084363905924,-6.86887530682666,6.47100359707813e-12,2.36135361696855e-10,-1.92668723464716
"UQCRH",8.9496090805115,-1.97986817422303,0.288442525292344,-6.86399542583529,6.69607755817729e-12,2.43818563756104e-10,-1.91139577790146
"C9orf135",10.0920699857952,-2.40713818952982,0.350997182636414,-6.85799860685292,6.98319402143137e-12,2.53722716112006e-10,-2.31958125468986
"PSMG3",3.90186062311335,-2.85085864953113,0.416014314204526,-6.85278980119313,7.24234673204729e-12,2.62570264026233e-10,-2.72344765466942
"PLK2",22.723214936644,-2.02439909623367,0.296138618326387,-6.83598480898731,8.14435741975637e-12,2.94636171655238e-10,-1.94969232070612
"CETN2",45.97059307078,-1.66771879195662,0.244509491620153,-6.82067097234583,9.06162702127241e-12,3.27114991782965e-10,-1.61122127766006
"MORN5",6.97132367334677,-2.47718369577196,0.363468414639476,-6.81540292360499,9.39999313431344e-12,3.38601469426149e-10,-2.38307090546951
"XRN1",163.068791262438,1.61925804412752,0.237647360147675,6.8137009522063,9.51193317934651e-12,3.41900022159552e-10,1.57091229910905
"C12orf50",65.9931661935796,2.27784422082883,0.334347458925191,6.81280554113167,9.57134831566662e-12,3.43300540228162e-10,2.44723456412122
"GABRE",57.4890385546381,2.89137222231921,0.424492468961127,6.8113628243991,9.66784572874404e-12,3.46022299366093e-10,3.02014437314771
"GAS2L2",9.62718982873574,-2.41125880167811,0.354431125286111,-6.80318016577029,1.02334534450789e-11,3.65486701125733e-10,-2.31083530427968
