"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DDB2",7.43589787380796,-0.371747425126226,0.226824184418127,-1.63892323069461,0.101229248932879,0.267055537047463
"PFN2",42.018219692471,-0.236304546862221,0.144186189842332,-1.63888474423674,0.101237265513247,0.267055537047463
"TBX6",2.80845658610046,-0.504976260191299,0.308158811789972,-1.63868836739762,0.101278177922601,0.267110378252455
"ATXN2L",37.7109895400882,-0.286695676995376,0.175010221425447,-1.63816532920339,0.101387209973991,0.267239913910221
"CMTM3",7.84139909946804,-0.447260828301448,0.273041924476678,-1.63806649531454,0.101407823291079,0.267239913910221
"HDX",5.8329109053152,0.405688155201608,0.247619336569421,1.63835409957118,0.101347848304189,0.267239913910221
"PIK3CA",14.5469598042766,-0.32057100058681,0.195695511038528,-1.63811115996267,0.101398507383205,0.267239913910221
"AC138409",12.9378619002318,-0.397776556830107,0.242870623047583,-1.63781255978486,0.101460800728747,0.267326452733901
"RPUSD1",2.89492823101255,-0.558166868055029,0.340900778935967,-1.63732940064614,0.1015616609273,0.267539092508231
"RBIS",4.8411229497777,-0.363114203885535,0.221801382512237,-1.63711424957192,0.101606599722191,0.26755128044284
"SYMPK",29.6475247957312,-0.314825612735715,0.192303280259328,-1.63713074634588,0.101603153466086,0.26755128044284
"RAVER1",7.26950179694406,-0.427910802076346,0.261397616974389,-1.63701110602807,0.101628149019106,0.267554948448951
"ADCY6",6.45397158142653,-0.454515246308246,0.277699837645964,-1.63671412328193,0.101690216555397,0.267665265626876
"LILRB1",8.80547863265644,0.439324806614041,0.26850964539935,1.63616024281229,0.101806054738788,0.267917044132172
"RGMA",8.66747116605362,-0.431818511206855,0.26399068242333,-1.63573391016279,0.101895289186527,0.268098725205541
"COBLL1",42.2028141036945,-0.243078435488022,0.148661630473347,-1.63511213158396,0.102025543460343,0.268330790914354
"NDC80",4.4352085175009,-0.48497035935372,0.296613704319361,-1.63502344056078,0.102044133835744,0.268330790914354
"SFSWAP",17.9836709880864,-0.304039366955779,0.185936434996299,-1.63517907053467,0.1020115142852,0.268330790914354
"DUSP22",19.8170465650062,-0.303989333346536,0.185952297928841,-1.63477051228947,0.102097164511076,0.268337512317565
"IL18",10.2221386662174,-0.327683545774816,0.20043953229746,-1.6348249370714,0.102085751586504,0.268337512317565
"LCTL",2.23761662957597,-0.610439882865598,0.373421216621422,-1.63472201282143,0.102107335747779,0.268337512317565
"VPS16",2.84974943899133,0.498772212868068,0.305174203225777,1.63438523831931,0.102177985842583,0.268470028518299
"AL390879",18.1963869478652,-0.381774971187945,0.233610936524309,-1.63423415388011,0.102209693665752,0.268500192701204
"ASB7",13.6849326596729,-0.310468197102461,0.190040928934544,-1.63369122032336,0.102323702801762,0.268508135436064
"GAPVD1",107.085009595598,-0.21505626505815,0.13164910510212,-1.63355660405995,0.102351986153198,0.268508135436064
"IL5RA",57.6462874850124,-0.259139640293902,0.158636313628569,-1.63354552540001,0.102354314095712,0.268508135436064
"MAN1C1",5.66362381654997,-0.392909848899386,0.240476872724082,-1.63387790455094,0.102284490080409,0.268508135436064
"PRPSAP1",17.7223770173864,-0.302094276252179,0.184867575874352,-1.6341117409226,0.102235389997903,0.268508135436064
"SFN",9.52122060452704,0.407206088981874,0.249230362042362,1.63385426095341,0.102289455718564,0.268508135436064
"ZFX",43.7976604319737,-0.241912052118971,0.148077301461724,-1.63368760593941,0.102324462115316,0.268508135436064
"FCHO2",37.0304336683193,-0.257861863140853,0.157877634055587,-1.63330204866171,0.102405486142657,0.268589295209964
"ZADH2",17.220777073087,-0.273151957943273,0.167251791699256,-1.63317806744003,0.1024315513721,0.268604585719726
"FAM186A",2.05639582543195,-0.669660310521282,0.410077877177456,-1.63300764998716,0.102467387750677,0.268645487853542
"EIF3D",45.3080942835372,-0.255535067555905,0.156527262881307,-1.63252754090305,0.10256840153537,0.268698038677817
"GPNMB",19.5054951456756,-0.378224318340992,0.231668798504173,-1.63260793332158,0.10255148164602,0.268698038677817
"PIN4",5.20110928899531,-0.371773211173521,0.227724282806008,-1.63255848955829,0.102561887625647,0.268698038677817
"SERBP1",79.9176350794603,-0.214479952002282,0.131357011034326,-1.63280170821056,0.102510707701882,0.268698038677817
"CCDC142",2.06411858433533,-0.564107475917127,0.34571824707894,-1.63169714263974,0.102743302302496,0.26910311656735
"AC010319",2.47303032082013,-0.529473473783617,0.324545384417683,-1.63143122412179,0.102799360912373,0.269196827135695
